Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
04.01.2021;02:00;1,2;12,5;0,22;1,12;6,4;6,1;1,7;1013
04.01.2021;03:00;0,4;11,0;0,22;1,18;6,9;6,7;1,6;1013
04.01.2021;04:00;1,3;13,0;0,23;1,21;7,5;7,2;1,2;1013
04.01.2021;05:00;3,3;14,6;0,24;1,24;7,9;7,8;1,0;1014
04.01.2021;06:00;9,4;18,2;0,29;1,37;8,9;8,4;1,0;1014
04.01.2021;07:00;38,4;23,9;0,44;1,58;11,0;8,8;1,1;1014
04.01.2021;08:00;77,9;32,0;0,68;2,34;12,8;10,0;1,5;1014
04.01.2021;09:00;42,3;24,2;0,49;2,83;12,5;10,9;1,7;1014
04.01.2021;10:00;58,2;28,1;0,56;2,34;14,7;13,0;1,9;1014
04.01.2021;11:00;50,6;25,8;0,49;2,72;16,1;14,1;2,1;1015
04.01.2021;12:00;56,1;26,1;0,57;2,31;15,0;13,6;2,4;1014
04.01.2021;13:00;56,0;27,8;0,58;2,85;13,6;12,6;2,8;1014
04.01.2021;14:00;38,1;22,8;0,60;2,75;13,0;12,2;3,0;1014
04.01.2021;15:00;38,1;23,3;0,57;3,04;12,8;11,7;2,9;1014
04.01.2021;16:00;35,7;24,0;0,54;2,76;12,0;11,7;2,7;1014
04.01.2021;17:00;59,0;28,8;0,62;2,74;12,8;12,2;2,7;1014
04.01.2021;18:00;59,8;34,3;0,64;2,98;13,0;12,2;2,7;1014
04.01.2021;19:00;48,1;27,9;0,55;3,01;13,6;12,7;2,6;1014
04.01.2021;20:00;28,4;24,0;0,44;2,62;12,2;11,7;2,5;1014
04.01.2021;21:00;24,0;23,8;0,42;2,26;12,0;11,5;2,4;1014
04.01.2021;22:00;26,1;22,6;0,42;2,34;13,0;12,2;2,4;1014
04.01.2021;23:00;21,8;21,4;0,40;2,10;13,5;12,8;2,4;1013
04.01.2021;24:00;19,0;21,6;0,40;2,19;13,9;13,4;2,4;1013
05.01.2021;01:00;21,5;20,6;0,35;1,96;13,4;12,4;2,4;1013
